Policy,Mean Cost,Std Cost,Mean Jobs,Std Jobs,Mean Interruptions,Mean Cost/Job,Mean Reward,SLA Violations
DQN_Agent,163.5,0.0,1684.15,16.26122689098212,0.0,0.09709065610448561,678.575,0.0
AlwaysOnDemand,82.65,0.22912878474779202,1653.0,4.58257569495584,0.0,0.05000000000000001,737.3985000000002,26.05
AlwaysSpot,25.093356027885527,0.44631968137406286,1481.7,19.670027961342605,68.55,0.016935149335548433,385.05164397211456,154.0
ThresholdPolicy,59.33848519404402,7.607266612424996,1589.8,20.87007426915391,26.75,0.037278773973998314,538.9870148059559,151.15
SmartThresholdPolicy,75.18519183195883,3.507144768608878,1633.2,6.9397406291589885,8.1,0.04603190120568239,676.4923081680413,110.05
RandomPolicy,62.57612219693438,17.342571063673784,1509.5,215.46635468211736,55.55,0.040936097266140684,553.2928778030656,60.5
